componente,valor_singular,varianza_explicada,varianza_acumulada
291,4.7125115,0.00014928572285831054,0.9708312391611736
292,4.700658,0.00014853565070737453,0.970979774811881
293,4.677957,0.00014710447475099273,0.971126879286632
294,4.672086,0.00014673544532952935,0.9712736147319615
295,4.660712,0.0001460218724012582,0.9714196366043627
296,4.6535287,0.00014557212230439153,0.9715652087266671
297,4.639889,0.0001447200020055821,0.9717099287286727
298,4.6210485,0.00014354711419052834,0.9718534758428632
299,4.6085024,0.00014276871668764924,0.9719962445595508
300,4.590911,0.00014168084958499907,0.9721379254091358
301,4.578233,0.00014089940540465187,0.9722788248145404
302,4.561224,0.0001398544277485372,0.972418679242289
303,4.5401807,0.00013856696193446965,0.9725572462042235
304,4.524241,0.00013759570528258975,0.9726948419095061
305,4.5113993,0.00013681570470577072,0.9728316576142119
306,4.506195,0.0001365002346395681,0.9729681578488514
307,4.4778104,0.0001347860108584383,0.9731029438597099
308,4.466837,0.00013412619922039225,0.9732370700589302
309,4.448552,0.00013303036746543866,0.9733701004263957
310,4.436626,0.0001323180383329388,0.9735024184647286
311,4.428611,0.00013184038179246294,0.9736342588465211
312,4.409765,0.0001307206709915125,0.9737649795175126
313,4.389799,0.00012953964897185967,0.9738945191664845
314,4.377206,0.00012879747936220276,0.9740233166458467
315,4.3644185,0.00012804605400721603,0.9741513626998539
316,4.3353233,0.00012634451962350646,0.9742777072194774
317,4.3257866,0.00012578927155134837,0.9744034964910288
318,4.322812,0.00012561633984445894,0.9745291128308732
319,4.312633,0.00012502545195148743,0.9746541382828247
320,4.2913017,0.00012379169940043331,0.9747779299822251
321,4.276955,0.0001229653668202528,0.9749008953490453
322,4.2668204,0.00012238329842294984,0.9750232786474683
323,4.2585945,0.000121911872658308,0.9751451905201266
324,4.2440825,0.00012108240734582319,0.9752662729274725
325,4.2356234,0.00012060021766275238,0.9753868731451353
326,4.223425,0.00011990656906774503,0.9755067797142031
327,4.2104807,0.0001191727008265649,0.9756259524150297
328,4.2094345,0.00011911348635555462,0.9757450659013852
329,4.198216,0.0001184794345929946,0.9758635453359782
330,4.1768055,0.00011727405050292593,0.9759808193864811
331,4.1595426,0.00011630665533838698,0.9760971260418194
332,4.1521645,0.00011589441710819007,0.9762130204589277
333,4.1190095,0.00011405097652886079,0.9763270714354565
334,4.1103935,0.00011357434149319144,0.9764406457769497
335,4.106307,0.00011334862577921812,0.9765539944027288
336,4.0964627,0.0001128058019281584,0.976666800204657
337,4.0808043,0.00011194506904697266,0.976778745273704
338,4.0694313,0.00011132196543112664,0.9768900672391352
339,4.0568843,0.00011063655996532788,0.9770007037991005
340,4.0407324,0.000109757346381367,0.977110461145482
341,4.0270014,0.00010901267058926595,0.9772194738160712
342,4.0221753,0.00010875153960906636,0.9773282253556803
343,4.000178,0.00010756525861155303,0.9774357906142919
344,3.9942198,0.00010724507026624975,0.9775430356845581
345,3.9738326,0.00010615307035108189,0.9776491887549092
346,3.9666176,0.00010576795017611603,0.9777549567050854
347,3.9585652,0.00010533896201615675,0.9778602956671015
348,3.9498239,0.00010487425268815673,0.9779651699197897
349,3.9352605,0.00010410231859595524,0.9780692722383856
350,3.9263942,0.00010363375309706773,0.9781729059914827
351,3.912444,0.00010289865932026835,0.9782758046508029
352,3.8996363,0.00010222606030864048,0.9783780307111115
353,3.8865197,0.0001015395331345587,0.978479570244246
354,3.8782067,0.00010110562853223115,0.9785806758727783
355,3.8743362,0.00010090392047740218,0.9786815797932558
356,3.8673174,0.00010053865358442529,0.9787821184468402
357,3.8557122,9.993615490412054e-05,0.9788820546017443
358,3.8358734,9.891039690170317e-05,0.978980964998646
359,3.8195033,9.80679739197761e-05,0.9790790329725657
360,3.8140132,9.778625531431997e-05,0.97917681922788
361,3.7942228,9.677408821754913e-05,0.9792735933160975
362,3.7876556,9.643937480909796e-05,0.9793700326909066
363,3.7792027,9.60094085675996e-05,0.9794660420994742
364,3.7707798,9.558192589405058e-05,0.9795616240253683
365,3.7552512,9.479630335339787e-05,0.9796564203287217
366,3.7439713,9.422767058196507e-05,0.9797506479993037
367,3.73516,9.378467296069719e-05,0.9798444326722644
368,3.7288678,9.346895515696675e-05,0.9799379016274213
369,3.7222528,9.313762585909033e-05,0.9800310392532804
370,3.7153623,9.279311724112049e-05,0.9801238323705215
371,3.7106519,9.255797519565074e-05,0.9802163903457172
372,3.6914,9.160003715657406e-05,0.9803079903828738
373,3.680139,9.104201938859583e-05,0.9803990324022623
374,3.6732745,9.070269557134701e-05,0.9804897350978337
375,3.6631048,9.020115595901786e-05,0.9805799362537927
376,3.6560206,8.985261067629884e-05,0.980669788864469
377,3.6334877,8.874845701231278e-05,0.9807585373214813
378,3.6160927,8.790073938788238e-05,0.9808464380608692
379,3.604822,8.735364924461684e-05,0.9809337917101139
380,3.598764,8.706029672159793e-05,0.9810208520068354
381,3.5960953,8.69312276088527e-05,0.9811077832344443
382,3.5884888,8.65638604839739e-05,0.9811943470949283
383,3.5781837,8.606739851989787e-05,0.9812804144934482
384,3.552843,8.485266323809531e-05,0.9813652671566863
385,3.5427427,8.437089436814921e-05,0.9814496380510545
386,3.5307293,8.37996613817231e-05,0.9815334377124362
387,3.5160291,8.310331505363065e-05,0.9816165410274899
388,3.5127687,8.294926498134577e-05,0.9816994902924712
389,3.5117705,8.290212663742169e-05,0.9817823924191086
390,3.4951935,8.212130941337424e-05,0.9818645137285219
391,3.4939237,8.206165027190151e-05,0.9819465753787938
392,3.4789479,8.135968646907278e-05,0.9820279350652629
393,3.4695122,8.091895507929744e-05,0.9821088540203422
394,3.455461,8.026485394026792e-05,0.9821891188742825
395,3.4480145,7.99192847558757e-05,0.9822690381590384
396,3.4431345,7.969322639783268e-05,0.9823487313854362
397,3.4292834,7.90533305221439e-05,0.9824277847159584
398,3.4221535,7.872494879436809e-05,0.9825065096647527
399,3.4144337,7.837017110067265e-05,0.9825848798358534
400,3.4064994,7.800636701225479e-05,0.9826628862028657
401,3.3979242,7.761412954795513e-05,0.9827405003324137
402,3.3846977,7.701107546496548e-05,0.9828175114078787
403,3.370072,7.63469605620165e-05,0.9828938583684407
404,3.3529813,7.557457127936971e-05,0.9829694329397201
405,3.3466341,7.528871741096801e-05,0.983044721657131
406,3.3456607,7.524492408161246e-05,0.9831199665812126
407,3.332437,7.46512918479316e-05,0.9831946178730605
408,3.3260317,7.43645897361121e-05,0.9832689824627966
409,3.3239827,7.427299480243102e-05,0.983343255457599
410,3.3116932,7.372480159072148e-05,0.9834169802591898
411,3.3064368,7.349095108619052e-05,0.983490471210276
412,3.2937717,7.292902730030886e-05,0.9835634002375763
413,3.289985,7.276143277579096e-05,0.9836361616703521
414,3.2833705,7.246915616981174e-05,0.9837086308265218
415,3.2732131,7.202147244576698e-05,0.9837806522989676
416,3.2718046,7.195949911603937e-05,0.9838526117980837
417,3.2578475,7.134687190993003e-05,0.9839239586699936
418,3.2530432,7.11365955130368e-05,0.9839950952655067
419,3.236069,7.039615820861901e-05,0.9840654914237152
420,3.2244864,6.989313292240994e-05,0.9841353845566376
421,3.2194717,6.967590910409028e-05,0.9842050604657417
